"added_route_id","trip_id"
"116","33114579"
"117","33114579"
"116","33114578"
"117","33114578"
"116","33114577"
"117","33114577"
"116","33114581"
"117","33114581"
"116","33114576"
"117","33114576"
"116","33114572"
"117","33114572"
"116","33114573"
"117","33114573"
"116","33114571"
"117","33114571"
"116","33114575"
"117","33114575"
"116","33114580"
"117","33114580"
"116","33114582"
"117","33114582"
"116","33114574"
"117","33114574"
"116","33114600"
"117","33114600"
"116","33114597"
"117","33114597"
"116","33114602"
"117","33114602"
"116","33114608"
"117","33114608"
"116","33114607"
"117","33114607"
"116","33114611"
"117","33114611"
"116","33114613"
"117","33114613"
"116","33114615"
"117","33114615"
"116","33114604"
"117","33114604"
"89","32902467"
"93","32902467"
"89","32392765"
"93","32392765"
"89","32395674"
"93","32395674"
"89","32395675"
"93","32395675"
"214","32876730"
"216","32876730"
"214","32876728"
"216","32876728"
"214","32876718"
"216","32876718"
"214","32876690"
"216","32876690"
"214","32876689"
"216","32876689"
"214","32876688"
"216","32876688"
"214","32876820"
"216","32876820"
"214","32876919"
"216","32876919"
"214","32876723"
"216","32876723"
"214","32876864"
"216","32876864"
"214","32876643"
"216","32876643"
"214","32876818"
"216","32876818"
"214","32876814"
"216","32876814"
"214","32876812"
"216","32876812"
"214","32876810"
"216","32876810"
"214","32876799"
"216","32876799"
"214","32876646"
"216","32876646"
"214","32876738"
"216","32876738"
"214","32876805"
"216","32876805"
"214","32876797"
"216","32876797"
"214","32876748"
"216","32876748"
"214","32876753"
"216","32876753"
"214","32876801"
"216","32876801"
"214","32876816"
"216","32876816"
"214","32876110"
"216","32876110"
"214","32876383"
"216","32876383"
"214","32876333"
"216","32876333"
"214","33070598"
"216","33070598"
"214","33070596"
"216","33070596"
"214","32876050"
"216","32876050"
"214","33070599"
"216","33070599"
"214","32876336"
"216","32876336"
"214","33070597"
"216","33070597"
"214","32876377"
"216","32876377"
"214","32876375"
"216","32876375"
"214","32876373"
"216","32876373"
"214","32876379"
"216","32876379"
"214","32876343"
"216","32876343"
"214","32876385"
"216","32876385"
"214","32876345"
"216","32876345"
"214","32876346"
"216","32876346"
"214","33070595"
"216","33070595"
"214","33070558"
"216","33070558"
"214","32876098"
"216","32876098"
"214","32876215"
"216","32876215"
"214","33070556"
"216","33070556"
"214","33070557"
"216","33070557"
"214","32876209"
"216","32876209"
"214","32876096"
"216","32876096"
"214","32876187"
"216","32876187"
"214","32876176"
"216","32876176"
"214","32876342"
"216","32876342"
"214","33070555"
"216","33070555"
"214","32876454"
"216","32876454"
"214","32876456"
"216","32876456"
"214","32876381"
"216","32876381"
"214","33070600"
"216","33070600"
"214","32876446"
"216","32876446"
"214","32876108"
"216","32876108"
"214","32876442"
"216","32876442"
"214","33070603"
"216","33070603"
"214","32876450"
"216","32876450"
"214","32876105"
"216","32876105"
"214","32876066"
"216","32876066"
"214","33070601"
"216","33070601"
"214","32876069"
"216","32876069"
"214","33070602"
